W=1 B=29 | M=8405297.0, a=0, pw=0, tag=0 
W=1 B=29 | M=8698611.0, a=0, pw=0, tag=0 
W=1 B=29 | M=7610410.5, a=0, pw=0, tag=0 

W=2 B=31 | M=297.51947, a=0, pw=0, tag=0 
W=2 B=31 | M=297.556519, a=0, pw=0, tag=0 
W=2 B=31 | M=297.09137, a=0, pw=0, tag=0 
W=2 B=31 | M=297.638275, a=0, pw=0, tag=0 
W=2 B=31 | M=297.325012, a=0, pw=0, tag=0 
W=2 B=31 | M=297.863586, a=0, pw=0, tag=0 
W=2 B=31 | M=297.459808, a=0, pw=0, tag=0 
W=2 B=31 | M=297.402191, a=0.0, pw=0.0, tag=SS_s 
W=2 B=31 | M=297.493347, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.286926, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.602692, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.209717, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.154816, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.903381, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.504608, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.30954, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.393372, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.228546, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.225647, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.14032, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=296.918762, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.230377, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.608398, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.425018, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.393951, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.268707, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.265167, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.245972, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.417633, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.669037, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.447418, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.064514, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.581146, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.203918, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.261719, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.256927, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.469635, a=-0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.34668, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.521729, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.363983, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.304596, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.353394, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.817993, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.364136, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.341248, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.65921, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.915619, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.204712, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.258514, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=298.123016, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.328247, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.510071, a=0.5, pw=1e-07, tag=SS_i 
W=2 B=31 | M=297.855072, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.498962, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.761047, a=0.0, pw=0.0, tag=SS_i 
W=2 B=31 | M=297.396576, a=0.0, pw=0.0, tag=SS_i 
