  Time                 , I(U4:PLUS)           , V(U4:PLUS)           
  1.000000000003e+003  ,-3.807607332564e-013  ,-9.557340948974e-009  
  1.000000200003e+003  ,-2.513312127530e-008  ,-6.308576174114e-004  
  1.000000600003e+003  ,-7.539860076237e-008  ,-1.892553696419e-003  
  1.000001400003e+003  ,-1.759295422510e-007  ,-4.415945405844e-003  
  1.000003000003e+003  ,-3.769912664758e-007  ,-9.462724801254e-003  
  1.000005000003e+003  ,-6.283178621667e-007  ,-1.577118492730e-002  
  1.000007000003e+003  ,-8.796434656353e-007  ,-2.207962006821e-002  
  1.000009000003e+003  ,-1.130967680027e-006  ,-2.838802026317e-002  
  1.000011000003e+003  ,-1.382290108466e-006  ,-3.469637555085e-002  
  1.000013000003e+003  ,-1.633610354103e-006  ,-4.100467597052e-002  
  1.000015000003e+003  ,-1.884928020024e-006  ,-4.731291155986e-002  
  1.000017000003e+003  ,-2.136242709386e-006  ,-5.362107235835e-002  
  1.000019000003e+003  ,-2.387554025352e-006  ,-5.992914840555e-002  
  1.000021000003e+003  ,-2.638861571021e-006  ,-6.623712973949e-002  
  1.000023000003e+003  ,-2.890164949568e-006  ,-7.254500640002e-002  
  1.000025000003e+003  ,-3.141463764150e-006  ,-7.885276842659e-002  
  1.000027000003e+003  ,-3.392757617955e-006  ,-8.516040585940e-002  
  1.000029000003e+003  ,-3.644046114109e-006  ,-9.146790873713e-002  
  1.000031000003e+003  ,-3.895328855817e-006  ,-9.777526710037e-002  
  1.000033000003e+003  ,-4.146605446270e-006  ,-1.040824709894e-001  
  1.000035000003e+003  ,-4.397875488689e-006  ,-1.103895104452e-001  
  1.000037000003e+003  ,-4.649138586239e-006  ,-1.166963755075e-001  
  1.000039000003e+003  ,-4.900394342165e-006  ,-1.230030562178e-001  
  1.000041000003e+003  ,-5.151642359723e-006  ,-1.293095426180e-001  
  1.000043000003e+003  ,-5.402882242111e-006  ,-1.356158247485e-001  
  1.000045000003e+003  ,-5.654113592611e-006  ,-1.419218926519e-001  
  1.000047000003e+003  ,-5.905336014493e-006  ,-1.482277363704e-001  
  1.000049000003e+003  ,-6.156549111067e-006  ,-1.545333459473e-001  
  1.000051000003e+003  ,-6.407752485586e-006  ,-1.608387114242e-001  
  1.000053000003e+003  ,-6.658945741390e-006  ,-1.671438228452e-001  
  1.000055000003e+003  ,-6.910128481832e-006  ,-1.734486702547e-001  
  1.000057000003e+003  ,-7.161300310215e-006  ,-1.797532436955e-001  
  1.000059000003e+003  ,-7.412460829928e-006  ,-1.860575332129e-001  
  1.000061000003e+003  ,-7.663609644353e-006  ,-1.923615288519e-001  
  1.000063000003e+003  ,-7.914746356916e-006  ,-1.986652206586e-001  
  1.000065000003e+003  ,-8.165870570990e-006  ,-2.049685986779e-001  
  1.000067000003e+003  ,-8.416981890041e-006  ,-2.112716529567e-001  
  1.000069000003e+003  ,-8.668079917551e-006  ,-2.175743735427e-001  
  1.000071000003e+003  ,-8.919164256957e-006  ,-2.238767504821e-001  
  1.000073000003e+003  ,-9.170234511785e-006  ,-2.301787738237e-001  
  1.000075000003e+003  ,-9.421290285561e-006  ,-2.364804336159e-001  
  1.000077000003e+003  ,-9.672331181856e-006  ,-2.427817199086e-001  
  1.000079000003e+003  ,-9.923356804198e-006  ,-2.490826227503e-001  
  1.000081000003e+003  ,-1.017436675620e-005  ,-2.553831321921e-001  
  1.000083000003e+003  ,-1.042536064152e-005  ,-2.616832382853e-001  
  1.000085000003e+003  ,-1.067633806375e-005  ,-2.679829310805e-001  
  1.000087000003e+003  ,-1.092729862658e-005  ,-2.742822006306e-001  
  1.000089000003e+003  ,-1.117824193371e-005  ,-2.805810369883e-001  
  1.000091000003e+003  ,-1.142916758890e-005  ,-2.868794302080e-001  
  1.000093000003e+003  ,-1.168007519585e-005  ,-2.931773703428e-001  
  1.000095000003e+003  ,-1.193096435836e-005  ,-2.994748474483e-001  
  1.000097000003e+003  ,-1.218183468028e-005  ,-3.057718515807e-001  
  1.000099000003e+003  ,-1.243268576539e-005  ,-3.120683727955e-001  
  1.000101000003e+003  ,-1.268351721760e-005  ,-3.183644011504e-001  
  1.000103000003e+003  ,-1.293432864080e-005  ,-3.246599267034e-001  
  1.000105000003e+003  ,-1.318511963896e-005  ,-3.309549395141e-001  
  1.000107000003e+003  ,-1.343588981598e-005  ,-3.372494296407e-001  
  1.000109000003e+003  ,-1.368663877591e-005  ,-3.435433871444e-001  
  1.000111000003e+003  ,-1.393736612278e-005  ,-3.498368020869e-001  
  1.000113000003e+003  ,-1.418807146063e-005  ,-3.561296645294e-001  
  1.000115000003e+003  ,-1.443875439358e-005  ,-3.624219645353e-001  
  1.000117000003e+003  ,-1.468941452577e-005  ,-3.687136921686e-001  
  1.000119000003e+003  ,-1.494005146138e-005  ,-3.750048374946e-001  
  1.000121000003e+003  ,-1.519066480459e-005  ,-3.812953905779e-001  
  1.000123000003e+003  ,-1.544125415967e-005  ,-3.875853414858e-001  
  1.000125000003e+003  ,-1.569181913093e-005  ,-3.938746802863e-001  
  1.000127000003e+003  ,-1.594235932264e-005  ,-4.001633970468e-001  
  1.000129000003e+003  ,-1.619287433918e-005  ,-4.064514818376e-001  
  1.000131000003e+003  ,-1.644336378497e-005  ,-4.127389247291e-001  
  1.000133000003e+003  ,-1.669382726446e-005  ,-4.190257157934e-001  
  1.000135000003e+003  ,-1.694426438210e-005  ,-4.253118451020e-001  
  1.000137000003e+003  ,-1.719467474244e-005  ,-4.315973027290e-001  
  1.000139000003e+003  ,-1.744505795003e-005  ,-4.378820787492e-001  
  1.000141000003e+003  ,-1.769541360952e-005  ,-4.441661632388e-001  
  1.000143000003e+003  ,-1.794574132552e-005  ,-4.504495462735e-001  
  1.000145000003e+003  ,-1.819604070273e-005  ,-4.567322179319e-001  
  1.000147000003e+003  ,-1.844631134594e-005  ,-4.630141682936e-001  
  1.000149000003e+003  ,-1.869655285989e-005  ,-4.692953874376e-001  
  1.000151000003e+003  ,-1.894676484942e-005  ,-4.755758654458e-001  
  1.000153000003e+003  ,-1.919694691943e-005  ,-4.818555924008e-001  
  1.000155000003e+003  ,-1.944709867486e-005  ,-4.881345583869e-001  
  1.000157000003e+003  ,-1.969721972064e-005  ,-4.944127534878e-001  
  1.000159000003e+003  ,-1.994730966182e-005  ,-5.006901677903e-001  
  1.000161000003e+003  ,-2.019736810351e-005  ,-5.069667913821e-001  
  1.000163000003e+003  ,-2.044739465077e-005  ,-5.132426143509e-001  
  1.000165000003e+003  ,-2.069738890880e-005  ,-5.195176267869e-001  
  1.000167000003e+003  ,-2.094735048283e-005  ,-5.257918187814e-001  
  1.000169000003e+003  ,-2.119727897816e-005  ,-5.320651804274e-001  
  1.000171000003e+003  ,-2.144717400006e-005  ,-5.383377018174e-001  
  1.000173000003e+003  ,-2.169703515396e-005  ,-5.446093730472e-001  
  1.000175000003e+003  ,-2.194686204529e-005  ,-5.508801842136e-001  
  1.000177000003e+003  ,-2.219665427951e-005  ,-5.571501254133e-001  
  1.000179000003e+003  ,-2.244641146219e-005  ,-5.634191867461e-001  
  1.000181000003e+003  ,-2.269613319891e-005  ,-5.696873583123e-001  
  1.000183000003e+003  ,-2.294581909537e-005  ,-5.759546302146e-001  
  1.000185000003e+003  ,-2.319546875722e-005  ,-5.822209925551e-001  
  1.000187000003e+003  ,-2.344508179027e-005  ,-5.884864354391e-001  
  1.000189000003e+003  ,-2.369465780035e-005  ,-5.947509489736e-001  
  1.000191000003e+003  ,-2.394419639331e-005  ,-6.010145232650e-001  
  1.000193000003e+003  ,-2.419369717511e-005  ,-6.072771484230e-001  
  1.000195000003e+003  ,-2.444315975177e-005  ,-6.135388145585e-001  
  1.000197000003e+003  ,-2.469258372936e-005  ,-6.197995117841e-001  
  1.000199000003e+003  ,-2.494196871397e-005  ,-6.260592302124e-001  
  1.000201000003e+003  ,-2.519131431181e-005  ,-6.323179599592e-001  
  1.000203000003e+003  ,-2.544062012914e-005  ,-6.385756911419e-001  
  1.000205000003e+003  ,-2.568988577224e-005  ,-6.448324138778e-001  
  1.000207000003e+003  ,-2.593911084751e-005  ,-6.510881182875e-001  
  1.000209000003e+003  ,-2.618829496137e-005  ,-6.573427944924e-001  
  1.000211000003e+003  ,-2.643743772037e-005  ,-6.635964326165e-001  
  1.000213000003e+003  ,-2.668653873102e-005  ,-6.698490227834e-001  
  1.000215000003e+003  ,-2.693559759999e-005  ,-6.761005551203e-001  
  1.000217000003e+003  ,-2.718461393399e-005  ,-6.823510197557e-001  
  1.000219000003e+003  ,-2.743358733976e-005  ,-6.886004068186e-001  
  1.000221000003e+003  ,-2.768251742414e-005  ,-6.948487064410e-001  
  1.000223000003e+003  ,-2.793140379405e-005  ,-7.010959087562e-001  
  1.000225000003e+003  ,-2.818024605649e-005  ,-7.073420038997e-001  
  1.000227000003e+003  ,-2.842904381845e-005  ,-7.135869820072e-001  
  1.000229000003e+003  ,-2.867779668706e-005  ,-7.198308332178e-001  
  1.000231000003e+003  ,-2.892650426955e-005  ,-7.260735476723e-001  
  1.000233000003e+003  ,-2.917516617311e-005  ,-7.323151155117e-001  
  1.000235000003e+003  ,-2.942378200510e-005  ,-7.385555268805e-001  
  1.000237000003e+003  ,-2.967235137293e-005  ,-7.447947719243e-001  
  1.000239000003e+003  ,-2.992087388408e-005  ,-7.510328407913e-001  
