  Time                 , I(U4:PLUS)           , V(U4:PLUS)           
  1.000000000009e+004  ,-6.785795674178e-015  ,-1.703259442218e-010  
  1.000026456009e+004  ,-1.994736025158e-008  ,-5.006860109997e-004  
  1.000079366009e+004  ,-5.984055701435e-008  ,-1.502019784760e-003  
  1.000185186009e+004  ,-1.396269262904e-007  ,-3.504686716417e-003  
  1.000396826009e+004  ,-2.991994443947e-007  ,-7.510015017826e-003  
  1.000661386009e+004  ,-4.986718547058e-007  ,-1.251684508668e-002  
  1.000925946009e+004  ,-6.981428871004e-007  ,-1.752364051025e-002  
  1.001190506009e+004  ,-8.976119904058e-007  ,-2.253038745417e-002  
  1.001455066009e+004  ,-1.097078613454e-006  ,-2.753707208442e-002  
  1.001719626009e+004  ,-1.296542205086e-006  ,-3.254368056637e-002  
  1.001984186009e+004  ,-1.496002214147e-006  ,-3.755019906685e-002  
  1.002248746009e+004  ,-1.695458089496e-006  ,-4.255661375333e-002  
  1.002513306009e+004  ,-1.894909280002e-006  ,-4.756291079159e-002  
  1.002777866009e+004  ,-2.094355234547e-006  ,-5.256907634751e-002  
  1.003042426009e+004  ,-2.293795402027e-006  ,-5.757509658865e-002  
  1.003306986009e+004  ,-2.493229231354e-006  ,-6.258095768377e-002  
  1.003571546009e+004  ,-2.692656171459e-006  ,-6.758664580064e-002  
  1.003836106009e+004  ,-2.892075671290e-006  ,-7.259214710816e-002  
  1.004100666009e+004  ,-3.091487179818e-006  ,-7.759744777769e-002  
  1.004365226009e+004  ,-3.290890146033e-006  ,-8.260253397684e-002  
  1.004629786009e+004  ,-3.490284018951e-006  ,-8.760739187314e-002  
  1.004894346009e+004  ,-3.689668247612e-006  ,-9.261200763994e-002  
  1.005158906009e+004  ,-3.889042281083e-006  ,-9.761636744929e-002  
  1.005423466009e+004  ,-4.088405568459e-006  ,-1.026204574736e-001  
  1.005688026009e+004  ,-4.287757558866e-006  ,-1.076242638849e-001  
  1.005952586009e+004  ,-4.487097701458e-006  ,-1.126277728588e-001  
  1.006217146009e+004  ,-4.686425445426e-006  ,-1.176309705712e-001  
  1.006481706009e+004  ,-4.885740239991e-006  ,-1.226338431958e-001  
  1.006746266009e+004  ,-5.085041534414e-006  ,-1.276363769075e-001  
  1.007010826009e+004  ,-5.284328777989e-006  ,-1.326385578829e-001  
  1.007275386009e+004  ,-5.483601420052e-006  ,-1.376403723016e-001  
  1.007539946009e+004  ,-5.682858909979e-006  ,-1.426418063434e-001  
  1.007804506009e+004  ,-5.882100697186e-006  ,-1.476428461893e-001  
  1.008069066009e+004  ,-6.081326231134e-006  ,-1.526434780203e-001  
  1.008333626009e+004  ,-6.280534961329e-006  ,-1.576436880215e-001  
  1.008598186009e+004  ,-6.479726337322e-006  ,-1.626434623766e-001  
  1.008862746009e+004  ,-6.678899808713e-006  ,-1.676427872695e-001  
  1.009127306009e+004  ,-6.878054825152e-006  ,-1.726416488860e-001  
  1.009391866009e+004  ,-7.077190836339e-006  ,-1.776400334135e-001  
  1.009656426009e+004  ,-7.276307292026e-006  ,-1.826379270424e-001  
  1.009920986009e+004  ,-7.475403642021e-006  ,-1.876353159587e-001  
  1.010185546009e+004  ,-7.674479336187e-006  ,-1.926321863550e-001  
  1.010450106009e+004  ,-7.873533824442e-006  ,-1.976285244286e-001  
  1.010714666009e+004  ,-8.072566556765e-006  ,-2.026243163714e-001  
  1.010979226009e+004  ,-8.271576983193e-006  ,-2.076195483794e-001  
  1.011243786009e+004  ,-8.470564553828e-006  ,-2.126142066529e-001  
  1.011508346009e+004  ,-8.669528718831e-006  ,-2.176082774025e-001  
  1.011772906009e+004  ,-8.868468928431e-006  ,-2.226017468128e-001  
  1.012037466009e+004  ,-9.067384632921e-006  ,-2.275946010745e-001  
  1.012302026009e+004  ,-9.266275282663e-006  ,-2.325868264053e-001  
  1.012566586009e+004  ,-9.465140328088e-006  ,-2.375784090111e-001  
  1.012831146009e+004  ,-9.663979219698e-006  ,-2.425693350988e-001  
  1.013095706009e+004  ,-9.862791408066e-006  ,-2.475595908759e-001  
  1.013360266009e+004  ,-1.006157634384e-005  ,-2.525491625541e-001  
  1.013624826009e+004  ,-1.026033347774e-005  ,-2.575380363484e-001  
  1.013889386009e+004  ,-1.045906226057e-005  ,-2.625261984743e-001  
  1.014153946009e+004  ,-1.065776214321e-005  ,-2.675136351486e-001  
  1.014418506009e+004  ,-1.085643257661e-005  ,-2.725003325982e-001  
  1.014683066009e+004  ,-1.105507301182e-005  ,-2.774862770437e-001  
  1.014947626009e+004  ,-1.125368289995e-005  ,-2.824714546950e-001  
  1.015212186009e+004  ,-1.145226169221e-005  ,-2.874558517783e-001  
  1.015476746009e+004  ,-1.165080883990e-005  ,-2.924394545263e-001  
  1.015741306009e+004  ,-1.184932379440e-005  ,-2.974222491686e-001  
  1.016005866009e+004  ,-1.204780600717e-005  ,-3.024042219379e-001  
  1.016270426009e+004  ,-1.224625492977e-005  ,-3.073853590716e-001  
  1.016534986009e+004  ,-1.244467001386e-005  ,-3.123656468086e-001  
  1.016799546009e+004  ,-1.264305071118e-005  ,-3.173450713845e-001  
  1.017064106009e+004  ,-1.284139647356e-005  ,-3.223236190376e-001  
  1.017328666009e+004  ,-1.303970675296e-005  ,-3.273012760115e-001  
  1.017593226009e+004  ,-1.323798100139e-005  ,-3.322780285453e-001  
  1.017857786009e+004  ,-1.343621867100e-005  ,-3.372538628873e-001  
  1.018122346009e+004  ,-1.363441921402e-005  ,-3.422287653084e-001  
  1.018386906009e+004  ,-1.383258208279e-005  ,-3.472027220567e-001  
  1.018651466009e+004  ,-1.403070672974e-005  ,-3.521757193821e-001  
  1.018916026009e+004  ,-1.422879260743e-005  ,-3.571477435432e-001  
  1.019180586009e+004  ,-1.442683916852e-005  ,-3.621187807981e-001  
  1.019445146009e+004  ,-1.462484586576e-005  ,-3.670888174046e-001  
  1.019709706009e+004  ,-1.482281215202e-005  ,-3.720578396300e-001  
  1.019974266009e+004  ,-1.502073748030e-005  ,-3.770258337506e-001  
  1.020238826009e+004  ,-1.521862130369e-005  ,-3.819927860420e-001  
  1.020503386009e+004  ,-1.541646307541e-005  ,-3.869586827798e-001  
  1.020767946009e+004  ,-1.561426224877e-005  ,-3.919235102466e-001  
  1.021032506009e+004  ,-1.581201827724e-005  ,-3.968872547248e-001  
  1.021297066009e+004  ,-1.600973061437e-005  ,-4.018499024906e-001  
  1.021561626009e+004  ,-1.620739871386e-005  ,-4.068114398301e-001  
  1.021826186009e+004  ,-1.640502202950e-005  ,-4.117718530387e-001  
  1.022090746009e+004  ,-1.660260001524e-005  ,-4.167311284102e-001  
  1.022355306009e+004  ,-1.680013212514e-005  ,-4.216892522488e-001  
  1.022619866009e+004  ,-1.699761781336e-005  ,-4.266462108549e-001  
  1.022884426009e+004  ,-1.719505653424e-005  ,-4.316019905235e-001  
  1.023148986009e+004  ,-1.739244774221e-005  ,-4.365565775620e-001  
  1.023413546009e+004  ,-1.758979089185e-005  ,-4.415099582806e-001  
  1.023678106009e+004  ,-1.778708543786e-005  ,-4.464621189824e-001  
  1.023942666009e+004  ,-1.798433083509e-005  ,-4.514130459997e-001  
  1.024207226009e+004  ,-1.818152653850e-005  ,-4.563627256513e-001  
  1.024471786009e+004  ,-1.837867200322e-005  ,-4.613111442468e-001  
  1.024736346009e+004  ,-1.857576668450e-005  ,-4.662582881178e-001  
  1.025000906009e+004  ,-1.877281003774e-005  ,-4.712041435988e-001  
  1.025265466009e+004  ,-1.896980151845e-005  ,-4.761486970230e-001  
  1.025530026009e+004  ,-1.916674058234e-005  ,-4.810919347162e-001  
  1.025794586009e+004  ,-1.936362668521e-005  ,-4.860338430304e-001  
  1.026059146009e+004  ,-1.956045928305e-005  ,-4.909744083305e-001  
  1.026323706009e+004  ,-1.975723783196e-005  ,-4.959136169542e-001  
  1.026588266009e+004  ,-1.995396178821e-005  ,-5.008514552449e-001  
  1.026852826009e+004  ,-2.015063060823e-005  ,-5.057879095596e-001  
  1.027117386009e+004  ,-2.034724374857e-005  ,-5.107229662587e-001  
  1.027381946009e+004  ,-2.054380066597e-005  ,-5.156566116934e-001  
  1.027646506009e+004  ,-2.074030081731e-005  ,-5.205888322568e-001  
  1.027911066009e+004  ,-2.093674365962e-005  ,-5.255196143122e-001  
  1.028175626009e+004  ,-2.113312865009e-005  ,-5.304489442087e-001  
  1.028440186009e+004  ,-2.132945524608e-005  ,-5.353768083469e-001  
  1.028704746009e+004  ,-2.152572290511e-005  ,-5.403031931102e-001  
  1.028969306009e+004  ,-2.172193108485e-005  ,-5.452280848864e-001  
  1.029233866009e+004  ,-2.191807924315e-005  ,-5.501514700609e-001  
  1.029498426009e+004  ,-2.211416683801e-005  ,-5.550733350720e-001  
  1.029762986009e+004  ,-2.231019332762e-005  ,-5.599936662850e-001  
  1.030027546009e+004  ,-2.250615817031e-005  ,-5.649124500860e-001  
  1.030292106009e+004  ,-2.270206082460e-005  ,-5.698296729011e-001  
  1.030556666009e+004  ,-2.289790074919e-005  ,-5.747453211434e-001  
  1.030821226009e+004  ,-2.309367740292e-005  ,-5.796593812302e-001  
  1.031085786009e+004  ,-2.328939024484e-005  ,-5.845718395746e-001  
  1.031350346009e+004  ,-2.348503873416e-005  ,-5.894826826097e-001  
  1.031614906009e+004  ,-2.368062233026e-005  ,-5.943918967765e-001  
