  Time                 , I(U2:PLUS)           , V(V2:+)              
  1.000000000009e+004  ,1.119811007144e-014  ,1.130965974084e-010  
  1.000026456009e+004  ,3.291769247238e-008  ,3.324560125378e-004  
  1.000079366009e+004  ,9.875056241308e-008  ,9.973426419396e-004  
  1.000185186009e+004  ,2.304162603416e-007  ,2.327115496584e-003  
  1.000396826009e+004  ,4.937472847017e-007  ,4.986657531746e-003  
  1.000661386009e+004  ,8.229222107625e-007  ,8.311197787044e-003  
  1.000925946009e+004  ,1.152094847138e-006  ,1.163571507707e-002  
  1.001190506009e+004  ,1.481264284415e-006  ,1.496020021560e-002  
  1.001455066009e+004  ,1.810429613186e-006  ,1.828464401652e-002  
  1.001719626009e+004  ,2.139589924052e-006  ,2.160903729382e-002  
  1.001984186009e+004  ,2.468744307629e-006  ,2.493337086162e-002  
  1.002248746009e+004  ,2.797891854542e-006  ,2.825763553421e-002  
  1.002513306009e+004  ,3.127031655437e-006  ,3.158182212608e-002  
  1.002777866009e+004  ,3.456162800977e-006  ,3.490592145193e-002  
  1.003042426009e+004  ,3.785284381848e-006  ,3.822992432669e-002  
  1.003306986009e+004  ,4.114395488760e-006  ,4.155382156558e-002  
  1.003571546009e+004  ,4.443495212450e-006  ,4.487760398410e-002  
  1.003836106009e+004  ,4.772582643682e-006  ,4.820126239804e-002  
  1.004100666009e+004  ,5.101656873257e-006  ,5.152478762359e-002  
  1.004365226009e+004  ,5.430716992006e-006  ,5.484817047726e-002  
  1.004629786009e+004  ,5.759762090801e-006  ,5.817140177597e-002  
  1.004894346009e+004  ,6.088791260550e-006  ,6.149447233706e-002  
  1.005158906009e+004  ,6.417803592207e-006  ,6.481737297832e-002  
  1.005423466009e+004  ,6.746798176769e-006  ,6.814009451799e-002  
  1.005688026009e+004  ,7.075774105279e-006  ,7.146262777483e-002  
  1.005952586009e+004  ,7.404730468832e-006  ,7.478496356810e-002  
  1.006217146009e+004  ,7.733666358575e-006  ,7.810709271761e-002  
  1.006481706009e+004  ,8.062580865709e-006  ,8.142900604375e-002  
  1.006746266009e+004  ,8.391473081494e-006  ,8.475069436750e-002  
  1.007010826009e+004  ,8.720342097249e-006  ,8.807214851046e-002  
  1.007275386009e+004  ,9.049187004357e-006  ,9.139335929488e-002  
  1.007539946009e+004  ,9.378006894264e-006  ,9.471431754368e-002  
  1.007804506009e+004  ,9.706800858485e-006  ,9.803501408048e-002  
  1.008069066009e+004  ,1.003556798861e-005  ,1.013554397296e-001  
  1.008333626009e+004  ,1.036430737628e-005  ,1.046755853162e-001  
  1.008598186009e+004  ,1.069301811325e-005  ,1.079954416661e-001  
  1.008862746009e+004  ,1.102169929132e-005  ,1.113149996059e-001  
  1.009127306009e+004  ,1.135035000239e-005  ,1.146342499632e-001  
  1.009391866009e+004  ,1.167896933842e-005  ,1.179531835663e-001  
  1.009656426009e+004  ,1.200755639148e-005  ,1.212717912444e-001  
  1.009920986009e+004  ,1.233611025372e-005  ,1.245900638276e-001  
  1.010185546009e+004  ,1.266463001737e-005  ,1.279079921470e-001  
  1.010450106009e+004  ,1.299311477477e-005  ,1.312255670345e-001  
  1.010714666009e+004  ,1.332156361833e-005  ,1.345427793231e-001  
  1.010979226009e+004  ,1.364997564060e-005  ,1.378596198469e-001  
  1.011243786009e+004  ,1.397834993419e-005  ,1.411760794407e-001  
  1.011508346009e+004  ,1.430668559184e-005  ,1.444921489407e-001  
  1.011772906009e+004  ,1.463498170637e-005  ,1.478078191839e-001  
  1.012037466009e+004  ,1.496323737073e-005  ,1.511230810086e-001  
  1.012302026009e+004  ,1.529145167798e-005  ,1.544379252542e-001  
  1.012566586009e+004  ,1.561962372128e-005  ,1.577523427611e-001  
  1.012831146009e+004  ,1.594775259392e-005  ,1.610663243711e-001  
  1.013095706009e+004  ,1.627583738929e-005  ,1.643798609271e-001  
  1.013360266009e+004  ,1.660387720091e-005  ,1.676929432731e-001  
  1.013624826009e+004  ,1.693187112244e-005  ,1.710055622547e-001  
  1.013889386009e+004  ,1.725981824765e-005  ,1.743177087183e-001  
  1.014153946009e+004  ,1.758771767042e-005  ,1.776293735121e-001  
  1.014418506009e+004  ,1.791556848480e-005  ,1.809405474852e-001  
  1.014683066009e+004  ,1.824336978495e-005  ,1.842512214884e-001  
  1.014947626009e+004  ,1.857112066517e-005  ,1.875613863737e-001  
  1.015212186009e+004  ,1.889882021990e-005  ,1.908710329945e-001  
  1.015476746009e+004  ,1.922646754371e-005  ,1.941801522057e-001  
  1.015741306009e+004  ,1.955406173133e-005  ,1.974887348637e-001  
  1.016005866009e+004  ,1.988160187763e-005  ,2.007967718262e-001  
  1.016270426009e+004  ,2.020908707762e-005  ,2.041042539526e-001  
  1.016534986009e+004  ,2.053651642648e-005  ,2.074111721037e-001  
  1.016799546009e+004  ,2.086388901952e-005  ,2.107175171420e-001  
