  Time                 , I(U3:PLUS)           , V(U3:PLUS)           
  1.000000000009e+004  ,-6.620285256152e-015  ,-1.655102573313e-010  
  1.000026456009e+004  ,-1.946082984465e-008  ,-4.865299345643e-004  
  1.000079366009e+004  ,-5.838100296131e-008  ,-1.459552635961e-003  
  1.000185186009e+004  ,-1.362213255471e-007  ,-3.405597436722e-003  
  1.000396826009e+004  ,-2.919017556901e-007  ,-7.297681619289e-003  
  1.000661386009e+004  ,-4.865088911811e-007  ,-1.216295171558e-002  
  1.000925946009e+004  ,-6.811146824505e-007  ,-1.702818811715e-002  
  1.001190506009e+004  ,-8.757185917682e-007  ,-2.189337738126e-002  
  1.001455066009e+004  ,-1.070320081409e-006  ,-2.675850606520e-002  
  1.001719626009e+004  ,-1.264918613656e-006  ,-3.162356072646e-002  
  1.001984186009e+004  ,-1.459513650797e-006  ,-3.648852792287e-002  
  1.002248746009e+004  ,-1.654104655133e-006  ,-4.135339421244e-002  
  1.002513306009e+004  ,-1.848691088975e-006  ,-4.621814615353e-002  
  1.002777866009e+004  ,-2.043272414646e-006  ,-5.108277030451e-002  
  1.003042426009e+004  ,-2.237848094483e-006  ,-5.594725322426e-002  
  1.003306986009e+004  ,-2.432417590840e-006  ,-6.081158147230e-002  
  1.003571546009e+004  ,-2.626980366086e-006  ,-6.567574160792e-002  
  1.003836106009e+004  ,-2.821535882612e-006  ,-7.053972019140e-002  
  1.004100666009e+004  ,-3.016083602825e-006  ,-7.540350378375e-002  
  1.004365226009e+004  ,-3.210622989156e-006  ,-8.026707894554e-002  
  1.004629786009e+004  ,-3.405153504059e-006  ,-8.513043223829e-002  
  1.004894346009e+004  ,-3.599674610012e-006  ,-8.999355022466e-002  
  1.005158906009e+004  ,-3.794185769519e-006  ,-9.485641946760e-002  
  1.005423466009e+004  ,-3.988686445111e-006  ,-9.971902653091e-002  
  1.005688026009e+004  ,-4.183176099348e-006  ,-1.045813579794e-001  
  1.005952586009e+004  ,-4.377654194821e-006  ,-1.094434003780e-001  
  1.006217146009e+004  ,-4.572120194155e-006  ,-1.143051402919e-001  
  1.006481706009e+004  ,-4.766573560004e-006  ,-1.191665642879e-001  
  1.006746266009e+004  ,-4.961013755060e-006  ,-1.240276589343e-001  
  1.007010826009e+004  ,-5.155440242051e-006  ,-1.288884108000e-001  
  1.007275386009e+004  ,-5.349852483741e-006  ,-1.337488064543e-001  
  1.007539946009e+004  ,-5.544249942937e-006  ,-1.386088324665e-001  
  1.007804506009e+004  ,-5.738632082483e-006  ,-1.434684754086e-001  
  1.008069066009e+004  ,-5.932998365269e-006  ,-1.483277218532e-001  
  1.008333626009e+004  ,-6.127348254226e-006  ,-1.531865583734e-001  
  1.008598186009e+004  ,-6.321681212331e-006  ,-1.580449715439e-001  
  1.008862746009e+004  ,-6.515996702609e-006  ,-1.629029479412e-001  
  1.009127306009e+004  ,-6.710294188130e-006  ,-1.677604741424e-001  
  1.009391866009e+004  ,-6.904573132018e-006  ,-1.726175367258e-001  
  1.009656426009e+004  ,-7.098832997445e-006  ,-1.774741222708e-001  
  1.009920986009e+004  ,-7.293073247639e-006  ,-1.823302173574e-001  
  1.010185546009e+004  ,-7.487293345878e-006  ,-1.871858085689e-001  
  1.010450106009e+004  ,-7.681492755499e-006  ,-1.920408824895e-001  
