  Time                 , I(U1:PLUS)           , V(V1:+)              
  1.000000000009e+004  ,1.131017069013e-014  ,1.130965974084e-010  
  1.000026456009e+004  ,3.324710318229e-008  ,3.324560125378e-004  
  1.000079366009e+004  ,9.973876959110e-008  ,9.973426419396e-004  
  1.000185186009e+004  ,2.327220608978e-007  ,2.327115496584e-003  
  1.000396826009e+004  ,4.986882717197e-007  ,4.986657531746e-003  
  1.000661386009e+004  ,8.311572987428e-007  ,8.311197787044e-003  
  1.000925946009e+004  ,1.163624020126e-006  ,1.163571507707e-002  
  1.001190506009e+004  ,1.496087517253e-006  ,1.496020021560e-002  
  1.001455066009e+004  ,1.828546871518e-006  ,1.828464401652e-002  
  1.001719626009e+004  ,2.161001164323e-006  ,2.160903729382e-002  
  1.001984186009e+004  ,2.493449477086e-006  ,2.493337086162e-002  
  1.002248746009e+004  ,2.825890891242e-006  ,2.825763553421e-002  
  1.002513306009e+004  ,3.158324488241e-006  ,3.158182212608e-002  
  1.002777866009e+004  ,3.490749349557e-006  ,3.490592145193e-002  
  1.003042426009e+004  ,3.823164556687e-006  ,3.822992432669e-002  
  1.003306986009e+004  ,4.155569191156e-006  ,4.155382156558e-002  
  1.003571546009e+004  ,4.487962334514e-006  ,4.487760398410e-002  
  1.003836106009e+004  ,4.820343068346e-006  ,4.820126239804e-002  
  1.004100666009e+004  ,5.152710474270e-006  ,5.152478762359e-002  
  1.004365226009e+004  ,5.485063633938e-006  ,5.484817047726e-002  
  1.004629786009e+004  ,5.817401629045e-006  ,5.817140177597e-002  
  1.004894346009e+004  ,6.149723541325e-006  ,6.149447233706e-002  
  1.005158906009e+004  ,6.482028452557e-006  ,6.481737297832e-002  
  1.005423466009e+004  ,6.814315444565e-006  ,6.814009451799e-002  
  1.005688026009e+004  ,7.146583599226e-006  ,7.146262777483e-002  
  1.005952586009e+004  ,7.478831998464e-006  ,7.478496356810e-002  
  1.006217146009e+004  ,7.811059724261e-006  ,7.810709271761e-002  
  1.006481706009e+004  ,8.143265858653e-006  ,8.142900604375e-002  
  1.006746266009e+004  ,8.475449483737e-006  ,8.475069436750e-002  
  1.007010826009e+004  ,8.807609681673e-006  ,8.807214851046e-002  
  1.007275386009e+004  ,9.139745534682e-006  ,9.139335929488e-002  
  1.007539946009e+004  ,9.471856125055e-006  ,9.471431754368e-002  
  1.007804506009e+004  ,9.803940535151e-006  ,9.803501408048e-002  
  1.008069066009e+004  ,1.013599784740e-005  ,1.013554397296e-001  
  1.008333626009e+004  ,1.046802714431e-005  ,1.046755853162e-001  
  1.008598186009e+004  ,1.080002750847e-005  ,1.079954416661e-001  
