  Time                 , I(U1:PLUS)           , V(U1:PLUS)           
  1.000000000000e-004  ,2.596374314158e-010  ,6.283185306146e-005  
  1.027999877930e-004  ,2.669072477958e-010  ,6.459113727667e-005  
  1.083999633789e-004  ,2.814468805545e-010  ,6.810970570695e-005  
  1.195999145508e-004  ,3.105261460658e-010  ,7.514684256686e-005  
  1.419998168945e-004  ,3.686846770620e-010  ,8.922111628380e-005  
  1.867996215820e-004  ,4.850017389251e-010  ,1.173696637037e-004  
  2.763992309570e-004  ,7.176358619541e-010  ,1.736667584683e-004  
  4.555984497070e-004  ,1.182904103778e-009  ,2.862609475399e-004  
  8.139968872070e-004  ,2.113440558931e-009  ,5.114493226045e-004  
  1.530793762207e-003  ,3.974513262770e-009  ,9.618260504274e-004  
  2.964387512207e-003  ,7.696657104708e-009  ,1.862579336912e-003  
  5.831575012207e-003  ,1.514093260667e-008  ,3.664084593762e-003  
  1.156595001221e-002  ,3.002938753159e-008  ,7.267084727160e-003  
  2.156595001221e-002  ,5.599231918415e-008  ,1.355018235997e-002  
  3.156595001221e-002  ,8.195401304387e-008  ,1.983314625795e-002  
  4.156595001221e-002  ,1.079138952417e-007  ,2.611591441078e-002  
  5.156595001221e-002  ,1.338713920081e-007  ,3.239842481008e-002  
  6.156595001221e-002  ,1.598259297042e-007  ,3.868061545001e-002  
  7.156595001221e-002  ,1.857769348535e-007  ,4.496242432788e-002  
  8.156595001221e-002  ,2.117238341733e-007  ,5.124378944477e-002  
  9.156595001221e-002  ,2.376660546060e-007  ,5.752464880615e-002  
  1.015659500122e-001  ,2.636030233505e-007  ,6.380494042247e-002  
  1.115659500122e-001  ,2.895341678935e-007  ,7.008460230978e-002  
  1.215659500122e-001  ,3.154589160410e-007  ,7.636357249037e-002  
  1.315659500122e-001  ,3.413766959495e-007  ,8.264178899332e-002  
  1.415659500122e-001  ,3.672869361571e-007  ,8.891918985519e-002  
  1.515659500122e-001  ,3.931890656150e-007  ,9.519571312054e-002  
  1.615659500122e-001  ,4.190825137181e-007  ,1.014712968426e-001  
  1.715659500122e-001  ,4.449667103369e-007  ,1.077458790840e-001  
  1.815659500122e-001  ,4.708410858478e-007  ,1.140193979170e-001  
  1.915659500122e-001  ,4.967050711644e-007  ,1.202917914247e-001  
  2.015659500122e-001  ,5.225580977686e-007  ,1.265629977008e-001  
  2.115659500122e-001  ,5.483995977410e-007  ,1.328329548513e-001  
  2.215659500122e-001  ,5.742290037921e-007  ,1.391016009942e-001  
  2.315659500122e-001  ,6.000457492929e-007  ,1.453688742604e-001  
  2.415659500122e-001  ,6.258492683052e-007  ,1.516347127945e-001  
  2.515659500122e-001  ,6.516389956128e-007  ,1.578990547553e-001  
  2.615659500122e-001  ,6.774143667514e-007  ,1.641618383161e-001  
  2.715659500122e-001  ,7.031748180392e-007  ,1.704230016658e-001  
  2.815659500122e-001  ,7.289197866073e-007  ,1.766824830093e-001  
  2.915659500122e-001  ,7.546487104297e-007  ,1.829402205680e-001  
  3.015659500122e-001  ,7.803610283534e-007  ,1.891961525806e-001  
  3.115659500122e-001  ,8.060561801287e-007  ,1.954502173036e-001  
  3.215659500122e-001  ,8.317336064388e-007  ,2.017023530118e-001  
  3.315659500122e-001  ,8.573927489296e-007  ,2.079524979992e-001  
  3.415659500122e-001  ,8.830330502395e-007  ,2.142005905795e-001  
  3.515659500122e-001  ,9.086539540290e-007  ,2.204465690863e-001  
  3.615659500122e-001  ,9.342549050099e-007  ,2.266903718746e-001  
  3.715659500122e-001  ,9.598353489751e-007  ,2.329319373204e-001  
  3.815659500122e-001  ,9.853947328270e-007  ,2.391712038220e-001  
  3.915659500122e-001  ,1.010932504608e-006  ,2.454081098003e-001  
  4.015659500122e-001  ,1.036448113527e-006  ,2.516425936997e-001  
  4.115659500122e-001  ,1.061941009991e-006  ,2.578745939883e-001  
  4.215659500122e-001  ,1.087410645632e-006  ,2.641040491588e-001  
  4.315659500122e-001  ,1.112856473336e-006  ,2.703308977289e-001  
  4.415659500122e-001  ,1.138277947273e-006  ,2.765550782422e-001  
  4.515659500122e-001  ,1.163674522920e-006  ,2.827765292686e-001  
  4.615659500122e-001  ,1.189045657096e-006  ,2.889951894047e-001  
