  Time                 , I(U1:PLUS)           , V(U1:PLUS)           
  1.000000000000e-004  ,2.596374262344e-009  ,6.283185203825e-004  
  1.027999877930e-004  ,2.669072421944e-009  ,6.459113616509e-004  
  1.083999633789e-004  ,2.814468740447e-009  ,6.810970440363e-004  
  1.195999145508e-004  ,3.105261374466e-009  ,7.514684081638e-004  
  1.419998168945e-004  ,3.686846629137e-009  ,8.922111335407e-004  
  1.867996215820e-004  ,4.850017073676e-009  ,1.173696570343e-003  
  2.763992309570e-004  ,7.176357612905e-009  ,1.736667368623e-003  
  4.555984497070e-004  ,1.182903656684e-008  ,2.862608507767e-003  
  8.139968872070e-004  ,2.113438017555e-008  ,5.114487707411e-003  
  1.530793762207e-003  ,3.974496378819e-008  ,9.618223800299e-003  
  2.964387512207e-003  ,7.696534533328e-008  ,1.862552682655e-002  
  5.831575012207e-003  ,1.513999957539e-007  ,3.663881678929e-002  
  1.156595001221e-002  ,3.002210906899e-007  ,7.265501735836e-002  
  2.156595001221e-002  ,5.594514663550e-007  ,1.353992185661e-001  
  3.156595001221e-002  ,8.180614766345e-007  ,1.980097970920e-001  
  4.156595001221e-002  ,1.075764641701e-006  ,2.604249638542e-001  
  5.156595001221e-002  ,1.332275810581e-006  ,3.225831226186e-001  
  6.156595001221e-002  ,1.587311576633e-006  ,3.844229307868e-001  
  7.156595001221e-002  ,1.840590688525e-006  ,4.458833599344e-001  
  8.156595001221e-002  ,2.091834455706e-006  ,5.069037560378e-001  
  9.156595001221e-002  ,2.340767147332e-006  ,5.674238993333e-001  
  1.015659500122e-001  ,2.587116383676e-006  ,6.273840637460e-001  
  1.115659500122e-001  ,2.830613519066e-006  ,6.867250758328e-001  
  1.215659500122e-001  ,3.070994015451e-006  ,7.453883731791e-001  
  1.315659500122e-001  ,3.307997805716e-006  ,8.033160621929e-001  
  1.415659500122e-001  ,3.541369645925e-006  ,8.604509752388e-001  
  1.515659500122e-001  ,3.770859455726e-006  ,9.167367270556e-001  
  1.615659500122e-001  ,3.996222646186e-006  ,9.721177704019e-001  
  1.715659500122e-001  ,4.217220434395e-006  ,1.026539450874e+000  
  1.815659500122e-001  ,4.433620144228e-006  ,1.079948060844e+000  
  1.915659500122e-001  ,4.645195492700e-006  ,1.132290892461e+000  
  2.015659500122e-001  ,4.851726861445e-006  ,1.183516289670e+000  
  2.115659500122e-001  ,5.053001552862e-006  ,1.233573699190e+000  
  2.215659500122e-001  ,5.248814030574e-006  ,1.282413720399e+000  
  2.315659500122e-001  ,5.438966143879e-006  ,1.329988154094e+000  
  2.415659500122e-001  ,5.623267335959e-006  ,1.376250050053e+000  
  2.515659500122e-001  ,5.801534835655e-006  ,1.421153753368e+000  
  2.615659500122e-001  ,5.973593832675e-006  ,1.464654949507e+000  
  2.715659500122e-001  ,6.139277636194e-006  ,1.506710708041e+000  
  2.815659500122e-001  ,6.298427816813e-006  ,1.547279525013e+000  
  2.915659500122e-001  ,6.450894331943e-006  ,1.586321363900e+000  
  3.015659500122e-001  ,6.596535634723e-006  ,1.623797695119e+000  
  3.115659500122e-001  ,6.735218766613e-006  ,1.659671534057e+000  
  3.215659500122e-001  ,6.866819433893e-006  ,1.693907477565e+000  
  3.315659500122e-001  ,6.991222068308e-006  ,1.726471738900e+000  
  3.415659500122e-001  ,7.108319872169e-006  ,1.757332181069e+000  
  3.515659500122e-001  ,7.218014848254e-006  ,1.786458348541e+000  
  3.615659500122e-001  ,7.320217814889e-006  ,1.813821497304e+000  
  3.715659500122e-001  ,7.414848406638e-006  ,1.839394623234e+000  
  3.815659500122e-001  ,7.501835061040e-006  ,1.863152488744e+000  
  3.915659500122e-001  ,7.581114991892e-006  ,1.885071647689e+000  
  4.015659500122e-001  ,7.652634149581e-006  ,1.905130468506e+000  
  4.115659500122e-001  ,7.716347168993e-006  ,1.923309155559e+000  
  4.215659500122e-001  ,7.772217305554e-006  ,1.939589768679e+000  
  4.315659500122e-001  ,7.820216359988e-006  ,1.953956240867e+000  
  4.415659500122e-001  ,7.860324592346e-006  ,1.966394394150e+000  
  4.515659500122e-001  ,7.892530625926e-006  ,1.976891953571e+000  
  4.615659500122e-001  ,7.916831341673e-006  ,1.985438559307e+000  
  4.715659500122e-001  ,7.933231763666e-006  ,1.992025776889e+000  
  4.815659500122e-001  ,7.941744936307e-006  ,1.996647105531e+000  
  4.915659500122e-001  ,7.942391793807e-006  ,1.999297984537e+000  
  5.015659500122e-001  ,7.935201022580e-006  ,1.999975797810e+000  
  5.115659500122e-001  ,7.920208917151e-006  ,1.998679876432e+000  
  5.215659500122e-001  ,7.897459230144e-006  ,1.995411499318e+000  
  5.315659500122e-001  ,7.867003016959e-006  ,1.990173891964e+000  
  5.415659500122e-001  ,7.828898475682e-006  ,1.982972223255e+000  
  5.515659500122e-001  ,7.783210782794e-006  ,1.973813600369e+000  
  5.615659500122e-001  ,7.730011925211e-006  ,1.962707061761e+000  
  5.715659500122e-001  ,7.669380529185e-006  ,1.949663568243e+000  
  5.815659500122e-001  ,7.601401686553e-006  ,1.934695992169e+000  
  5.915659500122e-001  ,7.526166778834e-006  ,1.917819104729e+000  
  6.015659500122e-001  ,7.443773299625e-006  ,1.899049561375e+000  
  6.115659500122e-001  ,7.354324675743e-006  ,1.878405885378e+000  
  6.215659500122e-001  ,7.257930087523e-006  ,1.855908449555e+000  
  6.315659500122e-001  ,7.154704288690e-006  ,1.831579456159e+000  
  6.415659500122e-001  ,7.044767426142e-006  ,1.805442914969e+000  
  6.515659500122e-001  ,6.928244860034e-006  ,1.777524619595e+000  
  6.615659500122e-001  ,6.805266984456e-006  ,1.747852122025e+000  
  6.715659500122e-001  ,6.675969049026e-006  ,1.716454705432e+000  
  6.815659500122e-001  ,6.540490981665e-006  ,1.683363355274e+000  
  6.915659500122e-001  ,6.398977212819e-006  ,1.648610728720e+000  
  7.015659500122e-001  ,6.251576501344e-006  ,1.612231122415e+000  
  7.115659500122e-001  ,6.098441762279e-006  ,1.574260438640e+000  
  7.215659500122e-001  ,5.939729896671e-006  ,1.534736149875e+000  
  7.315659500122e-001  ,5.775601623635e-006  ,1.493697261820e+000  
  7.415659500122e-001  ,5.606221314770e-006  ,1.451184274905e+000  
  7.515659500122e-001  ,5.431756831058e-006  ,1.407239144313e+000  
  7.615659500122e-001  ,5.252379362349e-006  ,1.361905238585e+000  
  7.715659500122e-001  ,5.068263269491e-006  ,1.315227296810e+000  
  7.815659500122e-001  ,4.879585929183e-006  ,1.267251384483e+000  
  7.915659500122e-001  ,4.686527581567e-006  ,1.218024848037e+000  
  8.015659500122e-001  ,4.489271180604e-006  ,1.167596268119e+000  
  8.115659500122e-001  ,4.288002247215e-006  ,1.116015411651e+000  
  8.215659500122e-001  ,4.082908725175e-006  ,1.063333182709e+000  
  8.315659500122e-001  ,3.874180839749e-006  ,1.009601572294e+000  
  8.415659500122e-001  ,3.662010958994e-006  ,9.548736070175e-001  
