  Time                 , I(U1:PLUS)           , V(U1:PLUS)           
  1.000000000000e-004  ,5.192748247255e-009  ,1.256636978753e-003  
  1.027999877930e-004  ,5.338144543101e-009  ,1.291822655933e-003  
  1.083999633789e-004  ,5.628937129511e-009  ,1.362194009084e-003  
  1.195999145508e-004  ,6.210522279749e-009  ,1.502936710238e-003  
  1.419998168945e-004  ,7.373692479178e-009  ,1.784422089522e-003  
  1.867996215820e-004  ,9.700032388216e-009  ,2.347392736475e-003  
  2.763992309570e-004  ,1.435270956188e-008  ,3.473333427792e-003  
  4.555984497070e-004  ,2.365804785045e-008  ,5.725211151100e-003  
  8.139968872070e-004  ,4.226861634419e-008  ,1.022894196859e-002  
  1.530793762207e-003  ,7.948897021428e-008  ,1.923622515329e-002  
  2.964387512207e-003  ,1.539237393289e-007  ,3.724943827154e-002  
  5.831575012207e-003  ,3.027470773024e-007  ,7.326533653333e-002  
  1.156595001221e-002  ,6.000294956547e-007  ,1.452141211159e-001  
  2.156595001221e-002  ,1.116230344102e-006  ,2.701771577254e-001  
  3.156595001221e-002  ,1.627755923578e-006  ,3.940739285256e-001  
  4.156595001221e-002  ,2.132468089423e-006  ,5.164154695651e-001  
  5.156595001221e-002  ,2.628262039922e-006  ,6.367189546740e-001  
  6.156595001221e-002  ,3.113076484117e-006  ,7.545096009581e-001  
  7.156595001221e-002  ,3.584903492236e-006  ,8.693225425498e-001  
  8.156595001221e-002  ,4.041797960444e-006  ,9.807046652217e-001  
  9.156595001221e-002  ,4.481886626515e-006  ,1.088216394621e+000  
  1.015659500122e-001  ,4.903376578680e-006  ,1.191433431070e+000  
  1.115659500122e-001  ,5.304563206194e-006  ,1.289948424081e+000  
  1.215659500122e-001  ,5.683837546880e-006  ,1.383372579983e+000  
  1.315659500122e-001  ,6.039692994062e-006  ,1.471337196315e+000  
  1.415659500122e-001  ,6.370731332634e-006  ,1.553495116923e+000  
  1.515659500122e-001  ,6.675668081465e-006  ,1.629522102029e+000  
  1.615659500122e-001  ,6.953337126778e-006  ,1.699118107856e+000  
  1.715659500122e-001  ,7.202694638415e-006  ,1.762008470764e+000  
  1.815659500122e-001  ,7.422822267942e-006  ,1.817944991224e+000  
  1.915659500122e-001  ,7.612929634197e-006  ,1.866706913343e+000  
  2.015659500122e-001  ,7.772356108121e-006  ,1.908101796092e+000  
  2.115659500122e-001  ,7.900571914396e-006  ,1.941966272781e+000  
  2.215659500122e-001  ,7.997178572541e-006  ,1.968166695792e+000  
  2.315659500122e-001  ,8.061908704583e-006  ,1.986599664024e+000  
  2.415659500122e-001  ,8.094625240262e-006  ,1.997192430973e+000  
  2.515659500122e-001  ,8.095320053874e-006  ,1.999903191827e+000  
  2.615659500122e-001  ,8.064112069318e-006  ,1.994721248453e+000  
  2.715659500122e-001  ,8.001244871728e-006  ,1.981667051612e+000  
  2.815659500122e-001  ,7.907083865214e-006  ,1.960792120256e+000  
  2.915659500122e-001  ,7.782113016800e-006  ,1.932178838202e+000  
  3.015659500122e-001  ,7.626931226590e-006  ,1.895940129002e+000  
  3.115659500122e-001  ,7.442248363647e-006  ,1.852219010285e+000  
  3.215659500122e-001  ,7.228881006028e-006  ,1.801188029334e+000  
  3.315659500122e-001  ,6.987747921980e-006  ,1.743048582115e+000  
  3.415659500122e-001  ,6.719865327437e-006  ,1.678030118465e+000  
  3.515659500122e-001  ,6.426341952913e-006  ,1.606389236558e+000  
  3.615659500122e-001  ,6.108373950450e-006  ,1.528408670222e+000  
  3.715659500122e-001  ,5.767239668776e-006  ,1.444396173129e+000  
  3.815659500122e-001  ,5.404294322154e-006  ,1.354683304223e+000  
  3.915659500122e-001  ,5.020964575619e-006  ,1.259624119211e+000  
  4.015659500122e-001  ,4.618743066564e-006  ,1.159593773267e+000  
  4.115659500122e-001  ,4.199182879863e-006  ,1.054987040469e+000  
  4.215659500122e-001  ,3.763891991015e-006  ,9.462167557995e-001  
  4.315659500122e-001  ,3.314527689250e-006  ,8.337121858802e-001  
  4.415659500122e-001  ,2.852790990045e-006  ,7.179173348502e-001  
  4.515659500122e-001  ,2.380421044244e-006  ,5.992891920847e-001  
  4.615659500122e-001  ,1.899189548894e-006  ,4.782959286673e-001  
  4.715659500122e-001  ,1.410895163033e-006  ,3.554150497320e-001  
  4.815659500122e-001  ,9.173579300482e-007  ,2.311315099692e-001  
  4.915659500122e-001  ,4.204137068548e-007  ,1.059357997304e-001  
  5.015659500122e-001  ,-7.809140095964e-008  ,-1.967799071242e-002  
  5.115659500122e-001  ,-5.763065997056e-007  ,-1.452141211159e-001  
  5.215659500122e-001  ,-1.072381966088e-006  ,-2.701771577254e-001  
  5.315659500122e-001  ,-1.564474006095e-006  ,-3.940739285256e-001  
  5.415659500122e-001  ,-2.050751216691e-006  ,-5.164154695651e-001  
  5.515659500122e-001  ,-2.529399652391e-006  ,-6.367189546740e-001  
  5.615659500122e-001  ,-2.998628498178e-006  ,-7.545096009581e-001  
  5.715659500122e-001  ,-3.456675649282e-006  ,-8.693225425498e-001  
  5.815659500122e-001  ,-3.901813297194e-006  ,-9.807046652217e-001  
  5.915659500122e-001  ,-4.332353519796e-006  ,-1.088216394621e+000  
  6.015659500122e-001  ,-4.746653871820e-006  ,-1.191433431070e+000  
  6.115659500122e-001  ,-5.143122969897e-006  ,-1.289948424081e+000  
  6.215659500122e-001  ,-5.520226064299e-006  ,-1.383372579983e+000  
  6.315659500122e-001  ,-5.876490587185e-006  ,-1.471337196315e+000  
  6.415659500122e-001  ,-6.210511664608e-006  ,-1.553495116923e+000  
  6.515659500122e-001  ,-6.520957576975e-006  ,-1.629522102029e+000  
  6.615659500122e-001  ,-6.806575149895e-006  ,-1.699118107856e+000  
  6.715659500122e-001  ,-7.066195054612e-006  ,-1.762008470764e+000  
  6.815659500122e-001  ,-7.298736994437e-006  ,-1.817944991224e+000  
  6.915659500122e-001  ,-7.503214750857e-006  ,-1.866706913343e+000  
  7.015659500122e-001  ,-7.678741060368e-006  ,-1.908101796092e+000  
  7.115659500122e-001  ,-7.824532290566e-006  ,-1.941966272781e+000  
  7.215659500122e-001  ,-7.939912881774e-006  ,-1.968166695792e+000  
  7.315659500122e-001  ,-8.024319518398e-006  ,-1.986599664024e+000  
  7.415659500122e-001  ,-8.077304992544e-006  ,-1.997192430973e+000  
  7.515659500122e-001  ,-8.098541721080e-006  ,-1.999903191827e+000  
  7.615659500122e-001  ,-8.087824876411e-006  ,-1.994721248453e+000  
  7.715659500122e-001  ,-8.045075090886e-006  ,-1.981667051612e+000  
  7.815659500122e-001  ,-7.970340694837e-006  ,-1.960792120256e+000  
  7.915659500122e-001  ,-7.863799449040e-006  ,-1.932178838202e+000  
  8.015659500122e-001  ,-7.725759733693e-006  ,-1.895940129002e+000  
  8.115659500122e-001  ,-7.556661158062e-006  ,-1.852219010285e+000  
  8.215659500122e-001  ,-7.357074557585e-006  ,-1.801188029334e+000  
  8.315659500122e-001  ,-7.127701348624e-006  ,-1.743048582115e+000  
  8.415659500122e-001  ,-6.869372215061e-006  ,-1.678030118465e+000  
  8.515659500122e-001  ,-6.583045105641e-006  ,-1.606389236558e+000  
  8.615659500122e-001  ,-6.269802526247e-006  ,-1.528408670222e+000  
  8.715659500122e-001  ,-5.930848117170e-006  ,-1.444396173129e+000  
  8.815659500122e-001  ,-5.567502511816e-006  ,-1.354683304223e+000  
  8.915659500122e-001  ,-5.181198480058e-006  ,-1.259624119211e+000  
  9.015659500122e-001  ,-4.773475366581e-006  ,-1.159593773267e+000  
  9.115659500122e-001  ,-4.345972841902e-006  ,-1.054987040469e+000  
  9.215659500122e-001  ,-3.900423991204e-006  ,-9.462167557995e-001  
  9.315659500122e-001  ,-3.438647773539e-006  ,-8.337121858802e-001  
  9.415659500122e-001  ,-2.962540891285e-006  ,-7.179173348502e-001  
  9.515659500122e-001  ,-2.474069116721e-006  ,-5.992891920847e-001  
  9.615659500122e-001  ,-1.975258129216e-006  ,-4.782959286673e-001  
  9.715659500122e-001  ,-1.468183922625e-006  ,-3.554150497320e-001  
  9.815659500122e-001  ,-9.549628479008e-007  ,-2.311315099692e-001  
  9.915659500122e-001  ,-4.377413606110e-007  ,-1.059357997304e-001  
  1.001565950012e+000  ,8.131445309693e-008  ,1.967799071243e-002  
  1.011565950012e+000  ,6.000294956725e-007  ,1.452141211159e-001  
  1.021565950012e+000  ,1.116230344135e-006  ,2.701771577254e-001  
  1.031565950012e+000  ,1.627755923627e-006  ,3.940739285256e-001  
  1.041565950012e+000  ,2.132468089486e-006  ,5.164154695651e-001  
  1.051565950012e+000  ,2.628262040000e-006  ,6.367189546740e-001  
  1.061565950012e+000  ,3.113076484209e-006  ,7.545096009581e-001  
  1.071565950012e+000  ,3.584903492342e-006  ,8.693225425498e-001  
  1.081565950012e+000  ,4.041797960564e-006  ,9.807046652218e-001  
  1.091565950012e+000  ,4.481886626647e-006  ,1.088216394621e+000  
  1.101565950012e+000  ,4.903376578825e-006  ,1.191433431070e+000  
  1.111565950012e+000  ,5.304563206351e-006  ,1.289948424081e+000  
  1.121565950012e+000  ,5.683837547048e-006  ,1.383372579983e+000  
  1.131565950012e+000  ,6.039692994240e-006  ,1.471337196315e+000  
  1.141565950012e+000  ,6.370731332822e-006  ,1.553495116923e+000  
  1.151565950012e+000  ,6.675668081662e-006  ,1.629522102029e+000  
  1.161565950012e+000  ,6.953337126983e-006  ,1.699118107856e+000  
  1.171565950012e+000  ,7.202694638627e-006  ,1.762008470764e+000  
  1.181565950012e+000  ,7.422822268160e-006  ,1.817944991224e+000  
  1.191565950012e+000  ,7.612929634420e-006  ,1.866706913343e+000  
  1.201565950012e+000  ,7.772356108348e-006  ,1.908101796092e+000  
  1.211565950012e+000  ,7.900571914627e-006  ,1.941966272781e+000  
  1.221565950012e+000  ,7.997178572775e-006  ,1.968166695792e+000  
  1.231565950012e+000  ,8.061908704818e-006  ,1.986599664024e+000  
  1.241565950012e+000  ,8.094625240497e-006  ,1.997192430973e+000  
  1.251565950012e+000  ,8.095320054109e-006  ,1.999903191827e+000  
  1.261565950012e+000  ,8.064112069553e-006  ,1.994721248453e+000  
  1.271565950012e+000  ,8.001244871960e-006  ,1.981667051612e+000  
  1.281565950012e+000  ,7.907083865443e-006  ,1.960792120256e+000  
  1.291565950012e+000  ,7.782113017026e-006  ,1.932178838202e+000  
  1.301565950012e+000  ,7.626931226811e-006  ,1.895940129002e+000  
  1.311565950012e+000  ,7.442248363861e-006  ,1.852219010285e+000  
  1.321565950012e+000  ,7.228881006237e-006  ,1.801188029334e+000  
  1.331565950012e+000  ,6.987747922181e-006  ,1.743048582115e+000  
  1.341565950012e+000  ,6.719865327630e-006  ,1.678030118465e+000  
  1.351565950012e+000  ,6.426341953098e-006  ,1.606389236558e+000  
  1.361565950012e+000  ,6.108373950625e-006  ,1.528408670222e+000  
  1.371565950012e+000  ,5.767239668942e-006  ,1.444396173129e+000  
  1.381565950012e+000  ,5.404294322309e-006  ,1.354683304223e+000  
  1.391565950012e+000  ,5.020964575762e-006  ,1.259624119211e+000  
  1.401565950012e+000  ,4.618743066696e-006  ,1.159593773267e+000  
  1.411565950012e+000  ,4.199182879983e-006  ,1.054987040469e+000  
  1.421565950012e+000  ,3.763891991122e-006  ,9.462167557995e-001  
  1.431565950012e+000  ,3.314527689345e-006  ,8.337121858802e-001  
  1.441565950012e+000  ,2.852790990126e-006  ,7.179173348502e-001  
  1.451565950012e+000  ,2.380421044312e-006  ,5.992891920847e-001  
  1.461565950012e+000  ,1.899189548948e-006  ,4.782959286673e-001  
  1.471565950012e+000  ,1.410895163073e-006  ,3.554150497320e-001  
  1.481565950012e+000  ,9.173579300743e-007  ,2.311315099692e-001  
  1.491565950012e+000  ,4.204137068668e-007  ,1.059357997304e-001  
  1.501565950012e+000  ,-7.809140096190e-008  ,-1.967799071243e-002  
  1.511565950012e+000  ,-5.763065997220e-007  ,-1.452141211159e-001  
  1.521565950012e+000  ,-1.072381966119e-006  ,-2.701771577254e-001  
  1.531565950012e+000  ,-1.564474006140e-006  ,-3.940739285256e-001  
  1.541565950012e+000  ,-2.050751216749e-006  ,-5.164154695651e-001  
  1.551565950012e+000  ,-2.529399652463e-006  ,-6.367189546740e-001  
